Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
[  2.7% |  1158/~42342 | ✓1270 | ✗   0] ✓ tests/agent/test_chat_completion_helpers_provider_sort.py (2✓, 2.0s)
[  2.8% |  1171/~42342 | ✓1283 | ✗   0] ✓ tests/agent/test_canon_args_memo_parity.py (13✓, 2.7s)
[  2.8% |  1178/~42342 | ✓1290 | ✗   0] ✓ tests/agent/test_cjk_token_estimation.py (7✓, 2.2s)
[  2.8% |  1181/~42342 | ✓1293 | ✗   0] ✓ tests/agent/test_close_interrupted_tool_sequence.py (3✓, 1.9s)
[  2.8% |  1199/~42342 | ✓1311 | ✗   0] ✓ tests/agent/test_codex_app_server_event_bridge.py (18✓, 2.5s)
[  2.8% |  1201/~42342 | ✓1313 | ✗   0] ✓ tests/agent/test_cascading_interrupt_6600.py (2✓, 5.0s)
[  2.8% |  1203/~42342 | ✓1315 | ✗   0] ✓ tests/agent/test_codex_request_transport_diagnostics.py (2✓, 2.3s)
[  2.8% |  1205/~42342 | ✓1317 | ✗   0] ✓ tests/agent/test_codex_aux_timeout_fd_ownership.py (2✓, 3.4s)
[  2.9% |  1213/~42342 | ✓1325 | ✗   0] ✓ tests/agent/test_codex_happy_eyeballs.py (8✓, 3.4s)
[  2.9% |  1219/~42342 | ✓1331 | ✗   0] ✓ tests/agent/test_codex_app_server_persist.py (6✓, 5.0s)
[  2.9% |  1226/~42342 | ✓1338 | ✗   0] ✓ tests/agent/test_codex_cloudflare_headers.py (7✓, 4.5s)
[  2.9% |  1230/~42342 | ✓1342 | ✗   0] ✓ tests/agent/test_codex_gpt55_autoraise_notice.py (4✓, 4.9s)
[  2.9% |  1238/~42342 | ✓1350 | ✗   0] ✓ tests/agent/test_codex_responses_settle_pending_tool_calls.py (8✓, 2.0s)
[  3.0% |  1264/~42342 | ✓1376 | ✗   0] ✓ tests/agent/test_codex_responses_adapter.py (26✓, 2.5s)
[  3.0% |  1266/~42342 | ✓1378 | ✗   0] ✓ tests/agent/test_codex_runtime_live_events.py (2✓, 1.9s)
[  3.0% |  1274/~42342 | ✓1386 | ✗   0] ✓ tests/agent/test_codex_aux_no_progress_timeout.py (8✓, 6.1s)
[  3.1% |  1298/~42342 | ✓1413 | ✗   0] ✓ tests/agent/test_coding_context.py (27✓, 2.6s)
[  3.1% |  1302/~42342 | ✓1417 | ✗   0] ✓ tests/agent/test_compaction_ops_notification_anchor.py (4✓, 2.1s)
[  3.1% |  1310/~42342 | ✓1425 | ✗   0] ✓ tests/agent/test_compaction_redaction_boundaries.py (8✓, 2.5s)
[  3.1% |  1321/~42342 | ✓1436 | ✗   0] ✓ tests/agent/test_compaction_anti_thrash.py (11✓, 2.7s)
[  3.2% |  1350/~42342 | ✓1465 | ✗   0] ✓ tests/agent/test_command_token_source.py (29✓, 3.2s)
